Nfa_float_q64_pw0    Nfa_float_q64_pw1    Nfa_float_q64_pw2    Nfa_float_q64_pw4    Nfa_float_q64_pw8    Nfa_int16_q64_pw0    Nfa_int16_q64_pw1    Nfa_int16_q64_pw2    Nfa_int16_q64_pw4    Nfa_int16_q64_pw8    Nmd_float_q64_pw0    Nmd_float_q64_pw1    Nmd_float_q64_pw2    Nmd_float_q64_pw4    Nmd_float_q64_pw8    Nmd_int16_q64_pw0    Nmd_int16_q64_pw1    Nmd_int16_q64_pw2    Nmd_int16_q64_pw4    Nmd_int16_q64_pw8    Pfa_float_q64_pw0    Pfa_float_q64_pw1    Pfa_float_q64_pw2    Pfa_float_q64_pw4    Pfa_float_q64_pw8    Pfa_int16_q64_pw0    Pfa_int16_q64_pw1    Pfa_int16_q64_pw2    Pfa_int16_q64_pw4    Pfa_int16_q64_pw8    Pmd_float_q64_pw0    Pmd_float_q64_pw1    Pmd_float_q64_pw2    Pmd_float_q64_pw4    Pmd_float_q64_pw8    Pmd_int16_q64_pw0    Pmd_int16_q64_pw1    Pmd_int16_q64_pw2    Pmd_int16_q64_pw4    Pmd_int16_q64_pw8    
71088                58963                14036                4122                 4099                 2182                 13893                667                  181                  207                  0                    2862                 1                    0                    0                    0                    52955                18                   0                    0                    0.0113414            0.0090269            0.0016823            0.0004540            0.0004426            0.0002177            0.0011877            0.0000558            0.0000146            0.0000148            0.0000000            0.0004233            0.0000001            0.0000000            0.0000000            0.0000000            0.0093649            0.0000041            0.0000000            0.0000000            
45617                37526                7893                 2234                 2210                 1320                 5770                 315                  88                   93                   0                    7130                 0                    0                    0                    0                    68059                32                   0                    1                    0.0067797            0.0052743            0.0008930            0.0002306            0.0002216            0.0000857            0.0006107            0.0000243            0.0000058            0.0000055            0.0000000            0.0011363            0.0000001            0.0000000            0.0000000            0.0000000            0.0161708            0.0000073            0.0000000            0.0000001            
28555                22794                4380                 1177                 1153                 451                  2992                 123                  31                   36                   0                    14790                1                    0                    0                    0                    95075                67                   1                    1                    0.0039242            0.0029949            0.0004550            0.0001129            0.0001063            0.0000406            0.0003115            0.0000120            0.0000027            0.0000019            0.0000000            0.0026153            0.0000002            0.0000000            0.0000000            0.0000000            0.0256783            0.0000140            0.0000001            0.0000002            
17151                13594                2310                 585                  561                  208                  1597                 65                   15                   9                    0                    28129                2                    0                    0                    0                    122429               125                  4                    2                    0.0022091            0.0016355            0.0002240            0.0000544            0.0000502            0.0000198            0.0001518            0.0000055            0.0000012            0.0000010            0.0000000            0.0054282            0.0000004            0.0000000            0.0000000            0.0000000            0.0379212            0.0000265            0.0000005            0.0000004            
10015                7675                 1132                 271                  278                  108                  789                  38                   8                    7                    0                    46147                1                    0                    0                    0                    147778               276                  4                    3                    0.0012076            0.0008680            0.0001108            0.0000273            0.0000224            0.0000090            0.0000729            0.0000017            0.0000004            0.0000003            0.0000000            0.0100429            0.0000005            0.0000000            0.0000000            0.0000000            0.0526990            0.0000541            0.0000009            0.0000007            
5581                 4176                 546                  148                  123                  58                   445                  7                    1                    3                    0                    69245                8                    0                    0                    0                    213951               395                  9                    10                   0.0006495            0.0004504            0.0000562            0.0000125            0.0000101            0.0000032            0.0000284            0.0000010            0.0000003            0.0000000            0.0000000            0.0169674            0.0000013            0.0000000            0.0000000            0.0000000            0.0740941            0.0000936            0.0000018            0.0000017            
3182                 2236                 291                  61                   53                   19                   159                  8                    1                    0                    0                    94806                9                    1                    0                    1                    187511               600                  18                   12                   0.0003313            0.0002268            0.0000271            0.0000064            0.0000048            0.0000013            0.0000125            0.0000002            0.0000002            0.0000000            0.0000000            0.0264480            0.0000022            0.0000001            0.0000000            0.0000001            0.0928452            0.0001536            0.0000036            0.0000029            
1650                 1188                 143                  36                   27                   6                    82                   2                    2                    0                    0                    122104               28                   0                    0                    1                    196838               962                  37                   12                   0.0001663            0.0001080            0.0000128            0.0000028            0.0000021            0.0000007            0.0000043            0.0000000            0.0000000            0.0000000            0.0000000            0.0386584            0.0000050            0.0000001            0.0000000            0.0000002            0.1125290            0.0002498            0.0000073            0.0000041            
857                  576                  67                   10                   9                    1                    25                   0                    0                    0                    0                    146768               46                   0                    0                    1                    199918               1458                 60                   37                   0.0000806            0.0000504            0.0000061            0.0000018            0.0000012            0.0000006            0.0000018            0.0000000            0.0000000            0.0000000            0.0000000            0.0533352            0.0000096            0.0000001            0.0000000            0.0000003            0.1325208            0.0003956            0.0000133            0.0000078            
453                  269                  37                   11                   7                    5                    12                   0                    0                    0                    0                    166633               87                   0                    1                    2                    200674               2275                 84                   41                   0.0000353            0.0000235            0.0000024            0.0000007            0.0000005            0.0000001            0.0000006            0.0000000            0.0000000            0.0000000            0.0000000            0.0699985            0.0000183            0.0000001            0.0000001            0.0000005            0.1525882            0.0006231            0.0000217            0.0000119            
191                  130                  13                   4                    2                    0                    5                    0                    0                    0                    0                    182251               153                  3                    0                    6                    197262               3293                 160                  100                  0.0000162            0.0000105            0.0000011            0.0000003            0.0000003            0.0000001            0.0000001            0.0000000            0.0000000            0.0000000            0.0000000            0.0882236            0.0000336            0.0000004            0.0000001            0.0000011            0.1723144            0.0009524            0.0000377            0.0000219            
90                   57                   8                    2                    1                    1                    1                    0                    0                    0                    0                    192783               283                  5                    2                    10                   239807               4817                 252                  148                  0.0000072            0.0000048            0.0000003            0.0000001            0.0000002            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.1075019            0.0000619            0.0000009            0.0000003            0.0000021            0.1962951            0.0014341            0.0000629            0.0000367            
39                   29                   3                    0                    1                    0                    0                    0                    0                    0                    0                    197635               460                  8                    5                    27                   185438               6922                 459                  225                  0.0000033            0.0000019            0.0000000            0.0000001            0.0000001            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.1272654            0.0001079            0.0000017            0.0000008            0.0000048            0.2148389            0.0021263            0.0001088            0.0000592            
22                   13                   0                    1                    1                    0                    0                    0                    0                    0                    0                    199846               679                  12                   7                    42                   178968               9660                 429                  380                  0.0000011            0.0000006            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.1472500            0.0001758            0.0000029            0.0000015            0.0000090            0.2327357            0.0030923            0.0001517            0.0000972            
6                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    196565               1097                 35                   20                   69                   173320               13032                915                  628                  0.0000005            0.0000001            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.1669065            0.0002855            0.0000064            0.0000035            0.0000159            0.2500677            0.0043955            0.0002432            0.0001600            
4                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    193123               1702                 55                   33                   130                  167464               17251                1529                 906                  0.0000001            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.1862188            0.0004557            0.0000119            0.0000068            0.0000289            0.2668141            0.0061206            0.0003961            0.0002506            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    188087               2507                 72                   55                   183                  163376               22803                2255                 1392                 0.0000001            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000001            0.2050275            0.0007064            0.0000191            0.0000123            0.0000472            0.2831517            0.0084009            0.0006216            0.0003898            
1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    182120               3658                 127                  96                   411                  198119               37957                3354                 2222                 0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000002            0.2232395            0.0010722            0.0000318            0.0000219            0.0000883            0.3029636            0.0121966            0.0009570            0.0006120            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    177372               5323                 211                  163                  564                  154161               39373                4657                 3136                 0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000005            0.2409767            0.0016045            0.0000529            0.0000382            0.0001447            0.3183797            0.0161339            0.0014227            0.0009256            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    4                    171049               7361                 372                  254                  905                  150725               48935                6663                 4562                 0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000009            0.2580816            0.0023406            0.0000901            0.0000636            0.0002352            0.3334522            0.0210274            0.0020890            0.0013818            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    13                   166517               10552                498                  391                  1251                 148405               60074                9343                 4594                 0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000022            0.2747333            0.0033958            0.0001399            0.0001027            0.0003603            0.3482927            0.0270348            0.0030233            0.0018412            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    17                   162802               14142                819                  689                  2592                 146254               72344                12995                8397                 0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000039            0.2910135            0.0048100            0.0002218            0.0001716            0.0006195            0.3629181            0.0342692            0.0043228            0.0026809            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    29                   158486               19153                1285                 961                  3145                 180240               86324                17370                11309                0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000068            0.3068621            0.0067253            0.0003503            0.0002677            0.0009340            0.3809421            0.0429016            0.0060598            0.0038118            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    68                   154483               24964                1996                 1519                 4541                 142364               100727               22967                15432                0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000136            0.3223104            0.0092217            0.0005499            0.0004196            0.0013881            0.3951785            0.0529743            0.0083565            0.0053550            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    119                  152514               32045                2765                 2222                 6427                 141749               116601               30525                20724                0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000255            0.3375618            0.0124262            0.0008264            0.0006418            0.0020308            0.4093534            0.0646344            0.0114090            0.0074274            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    176                  150255               40797                3879                 3264                 11523                141747               132890               38595                26930                0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000431            0.3525873            0.0165059            0.0012143            0.0009682            0.0031831            0.4235281            0.0779234            0.0152685            0.0101204            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    309                  147797               50634                5621                 4764                 13046                140433               150101               49365                34776                0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000740            0.3673670            0.0215693            0.0017764            0.0014446            0.0044877            0.4375714            0.0929335            0.0202050            0.0135980            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    418                  146929               62397                7832                 6566                 17462                141381               167373               61724                43922                0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0001158            0.3820599            0.0278090            0.0025596            0.0021012            0.0062339            0.4517095            0.1096708            0.0263774            0.0179902            
0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    711                  145471               75192                10664                9161                 23098                176604               186174               76466                55978                0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0001869            0.3966070            0.0353282            0.0036260            0.0030173            0.0085437            0.4693699            0.1282882            0.0340240            0.0235880            
