Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
0                0                0                0                0                339359           375870           336576           416666           349427           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3004595        0.5434090        0.7742895        0.5039767        0.5771783        
0                0                0                0                0                356261           372000           309294           414568           342278           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3360856        0.5806090        0.8052189        0.5454335        0.6114061        
0                0                0                0                0                369331           363750           281641           409731           332393           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3730187        0.6169840        0.8333830        0.5864066        0.6446454        
0                0                0                0                0                380673           352813           253706           398473           321226           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4110860        0.6522653        0.8587536        0.6262539        0.6767680        
0                0                0                0                0                387231           339824           224836           384731           307882           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4498091        0.6862477        0.8812372        0.6647270        0.7075562        
0                0                0                0                0                391464           323567           198000           367021           291881           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4889555        0.7186044        0.9010372        0.7014291        0.7367443        
0                0                0                0                0                390483           306341           173686           347250           276366           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5280038        0.7492385        0.9184058        0.7361541        0.7643809        
0                0                0                0                0                388044           286472           148432           323173           259887           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5668082        0.7778857        0.9332490        0.7684714        0.7903696        
0                0                0                0                0                379614           265861           126007           300869           241020           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6047696        0.8044718        0.9458497        0.7985583        0.8144716        
0                0                0                0                0                369809           246357           106139           275692           223213           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6417505        0.8291075        0.9564636        0.8261275        0.8367929        
0                0                0                0                0                356208           224322           88643            249387           204191           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6773713        0.8515397        0.9653279        0.8510662        0.8572120        
0                0                0                0                0                339247           202871           73036            223505           185789           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7112960        0.8718268        0.9726315        0.8734167        0.8757909        
0                0                0                0                0                321026           182882           59702            198616           167646           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7433986        0.8901150        0.9786017        0.8932783        0.8925555        
0                0                0                0                0                300166           163286           48216            174990           149684           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7734152        0.9064436        0.9834233        0.9107773        0.9075239        
0                0                0                0                0                278486           144414           38685            151711           133407           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8012638        0.9208850        0.9872918        0.9259484        0.9208646        
0                0                0                0                0                257014           126841           30322            130454           118363           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8269652        0.9335691        0.9903240        0.9389938        0.9327009        
0                0                0                0                0                233787           109600           23853            111997           104000           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8503439        0.9445291        0.9927093        0.9501935        0.9431009        
0                0                0                0                0                210369           95032            18607            95203            90589            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8713808        0.9540323        0.9945700        0.9597138        0.9521598        
0                0                0                0                0                189207           81268            14168            79631            78565            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8903015        0.9621591        0.9959868        0.9676769        0.9600163        
0                0                0                0                0                166698           68935            10564            65859            67601            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9069713        0.9690526        0.9970432        0.9742628        0.9667764        
0                0                0                0                0                147768           58091            8216             54105            58160            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9217481        0.9748617        0.9978648        0.9796733        0.9725924        
0                0                0                0                0                128666           48858            5997             44196            49261            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9346147        0.9797475        0.9984645        0.9840929        0.9775185        
0                0                0                0                0                111787           39744            4375             35851            41409            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9457934        0.9837219        0.9989020        0.9876780        0.9816594        
