edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
20.74            0                0                0                0                0                404352           307651           274917           260449           775              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5325695        0.7699281        0.8150986        0.8340388        0.9998550        
21.04            0                0                0                0                0                400715           284063           251104           235404           540              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5726410        0.7983344        0.8402090        0.8575792        0.9999090        
21.35            0                0                0                0                0                392136           262277           227369           211046           337              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6118546        0.8245621        0.8629459        0.8786838        0.9999427        
21.65            0                0                0                0                0                380326           238982           203667           187545           195              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6498872        0.8484603        0.8833126        0.8974383        0.9999622        
21.95            0                0                0                0                0                364897           214935           180781           165165           135              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6863769        0.8699538        0.9013907        0.9139548        0.9999757        
22.25            0                0                0                0                0                346950           192922           160372           143873           96               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7210719        0.8892460        0.9174279        0.9283421        0.9999853        
22.56            0                0                0                0                0                325048           171718           138778           123924           53               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7535767        0.9064178        0.9313057        0.9407345        0.9999906        
22.86            0                0                0                0                0                303180           150813           119253           106852           35               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7838947        0.9214991        0.9432310        0.9514197        0.9999941        
23.16            0                0                0                0                0                279929           131630           102129           90953            30               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8118876        0.9346621        0.9534439        0.9605150        0.9999971        
23.46            0                0                0                0                0                256159           113027           86807            76317            12               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8375035        0.9459648        0.9621246        0.9681467        0.9999983        
23.77            0                0                0                0                0                231071           97131            73024            63434            6                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8606106        0.9556779        0.9694270        0.9744901        0.9999989        
