x,0,pi_2,pi,2pi
258,52,47,39,40
259,50,46,39,41
260,50,46,39,40
261,51,48,43,44
262,49,45,40,42
263,49,47,42,45
264,46,42,38,40
265,50,43,42,43
266,47,39,39,40
267,46,38,38,37
268,44,34,36,33
269,41,33,33,28
270,39,31,32,26
271,39,34,34,30
272,40,33,32,31
273,36,30,30,28
274,39,31,35,32
275,40,32,36,32
276,41,34,35,32
277,41,33,33,31
278,39,34,36,32
279,38,34,35,33
280,36,35,35,32
281,36,36,35,32
282,37,36,35,32
283,38,38,36,33
284,38,39,36,34
285,40,42,38,35
286,38,42,38,35
287,41,44,38,35
288,36,40,37,33
289,41,45,38,36
290,43,48,39,38
291,44,49,39,37
292,44,50,42,40
293,40,44,39,37
294,43,47,42,39
295,39,45,36,34
296,38,44,36,33
297,38,45,38,36
298,38,45,37,33
299,37,44,36,32
300,39,44,37,32
301,40,45,38,32
302,43,46,41,35
303,45,45,40,34
304,45,44,39,34
305,45,42,38,33
306,44,42,39,34
307,45,39,38,35
308,46,40,38,37
309,47,41,38,35
310,50,44,42,40
311,55,49,44,42
312,60,52,46,45
313,61,50,46,45
314,62,53,47,47
315,61,52,43,45
316,59,51,39,43
317,61,53,40,43
318,59,51,35,39
319,58,50,34,38
320,63,50,36,40
321,64,53,41,45
322,64,56,40,45
323,60,54,39,45
324,58,53,38,43
325,59,52,40,45
326,57,53,39,45
327,56,51,39,45
328,53,46,34,38
329,54,46,38,40
330,52,43,36,37
331,52,41,34,35
332,50,38,34,32
333,49,37,32,28
334,45,34,31,25
335,44,37,33,28
336,47,36,33,31
337,42,31,32,28
338,46,32,37,33
339,46,34,38,33
340,46,37,37,32
341,46,36,35,32
342,45,37,38,34
343,44,36,36,36
344,41,36,35,33
345,42,37,35,33
346,41,37,34,33
347,42,40,37,35
348,41,42,38,39
349,43,46,41,40
350,42,45,41,41
351,43,47,40,39
352,39,45,41,36
353,42,48,40,36
354,44,51,40,37
355,44,50,42,40
356,43,49,43,41
357,42,46,41,38
358,43,48,42,39
359,41,47,37,35
360,41,46,38,33
361,42,46,41,35
362,41,46,39,33
363,41,48,35,34
364,44,49,37,33
365,45,51,40,35
366,45,49,40,36
367,46,49,42,36
368,47,49,41,36
369,47,48,40,34
370,45,46,40,35
371,46,43,40,38
372,45,42,40,38
373,48,45,40,38
374,53,49,43,44
375,61,56,47,49
376,65,58,49,51
377,66,57,50,51
378,66,59,50,52
379,66,59,46,51
380,64,59,44,49
381,66,61,45,49
382,66,60,41,46
383,66,60,40,44
384,71,60,42,46
385,72,63,48,52
386,72,65,46,52
387,66,62,44,50
388,63,61,44,47
389,63,60,46,49
390,61,60,44,48
391,59,57,44,46
392,55,52,40,40
393,56,52,44,43
394,53,49,42,39
395,52,46,40,36
396,51,43,38,34
397,50,41,35,30
398,46,36,33,27
399,43,38,34,28
400,48,37,35,33
401,44,33,35,31
402,48,34,40,35
403,47,35,39,35
404,48,39,39,34
405,49,39,38,35
406,47,40,42,38
407,46,38,40,39
408,43,38,39,38
409,45,40,39,37
410,43,40,38,37
411,44,42,40,38
412,46,47,43,44
413,49,52,46,45
414,46,49,45,42
415,48,52,43,39
416,46,51,45,37
417,48,53,45,39
418,48,55,44,39
419,48,55,45,42
420,47,53,46,43
421,49,52,46,41
422,52,54,47,42
423,50,54,44,40
424,50,51,44,38
425,50,51,46,40
426,49,51,44,38
427,49,55,42,41
428,49,53,42,37
429,52,55,45,37
430,51,52,43,38
431,52,53,46,38
432,52,51,44,37
433,53,50,44,35
434,52,48,43,35
435,54,47,44,40
436,54,47,42,39
437,56,48,41,38
438,58,50,45,42
439,66,58,48,47
