Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
0                0                0                0                0                30335            126649           192535           60137            149060           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0130354        0.0765910        0.1028211        0.0254195        0.1044226        
0                0                0                0                0                37971            144361           222095           74839            164634           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0168325        0.0910271        0.1250306        0.0329034        0.1208860        
0                0                0                0                0                47090            162999           251362           91411            180567           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0215415        0.1073270        0.1501668        0.0420445        0.1389427        
0                0                0                0                0                57702            182145           283128           110150           198429           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0273117        0.1255415        0.1784796        0.0530595        0.1587856        
0                0                0                0                0                68753            201707           311994           130961           215061           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0341870        0.1457122        0.2096790        0.0661556        0.1802917        
0                0                0                0                0                82968            222424           340158           154826           232173           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0424838        0.1679546        0.2436948        0.0816382        0.2035090        
0                0                0                0                0                97687            241619           366331           178874           248218           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0522525        0.1921165        0.2803279        0.0995256        0.2283308        
0                0                0                0                0                113807           260855           388634           205079           263464           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0636332        0.2182020        0.3191913        0.1200335        0.2546772        
0                0                0                0                0                131418           278525           406982           233698           276966           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0767750        0.2460545        0.3598895        0.1434033        0.2823738        
0                0                0                0                0                151932           295896           423666           260073           290325           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0919682        0.2756441        0.4022561        0.1694106        0.3114063        
0                0                0                0                0                171714           311240           433319           286030           302081           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1091396        0.3067681        0.4455880        0.1980136        0.3416144        
0                0                0                0                0                192428           325847           438666           312737           311709           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1283824        0.3393528        0.4894546        0.2292873        0.3727853        
0                0                0                0                0                214613           336294           437352           339090           318613           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1498437        0.3729822        0.5331898        0.2631963        0.4046466        
0                0                0                0                0                235850           345174           432886           360331           324885           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1734287        0.4074996        0.5764784        0.2992294        0.4371351        
0                0                0                0                0                257566           351631           422349           379646           327738           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1991853        0.4426627        0.6187133        0.3371940        0.4699089        
0                0                0                0                0                278859           354689           406127           394541           327887           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2270712        0.4781316        0.6593260        0.3766481        0.5026976        
0                0                0                0                0                298093           355414           387167           407736           327923           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2568805        0.5136730        0.6980427        0.4174217        0.5354899        
