edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
26.37            0                0                0                0                0                116676           65677            45584            37106            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9410069        0.9679911        0.9800210        0.9846093        1.0000000        
26.69            0                0                0                0                0                100087           56201            38071            30478            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9510156        0.9736112        0.9838281        0.9876571        1.0000000        
27.01            0                0                0                0                0                86016            47764            31709            25384            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9596172        0.9783876        0.9869990        0.9901955        1.0000000        
27.32            0                0                0                0                0                73047            39993            26034            20433            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9669219        0.9823869        0.9896024        0.9922388        1.0000000        
27.64            0                0                0                0                0                61829            33428            21297            16631            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9731048        0.9857297        0.9917321        0.9939019        1.0000000        
27.96            0                0                0                0                0                51506            27699            17480            13317            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9782554        0.9884996        0.9934801        0.9952336        1.0000000        
28.27            0                0                0                0                0                42844            23105            13998            10742            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9825398        0.9908101        0.9948799        0.9963078        1.0000000        
28.59            0                0                0                0                0                35541            18772            11353            8463             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9860939        0.9926873        0.9960152        0.9971541        1.0000000        
28.91            0                0                0                0                0                28893            15242            9001             6647             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9889832        0.9942115        0.9969153        0.9978188        1.0000000        
29.23            0                0                0                0                0                23634            12213            7041             5233             0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9913466        0.9954328        0.9976194        0.9983421        1.0000000        
