edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_LINF         
19.50            0                0                0                0                265598           280706           286790           3363             0.0000000        0.0000000        0.0000000        0.0000000        0.3029791        0.4794080        0.5466369        0.9990388        
19.75            0                0                0                0                276100           281852           282739           2474             0.0000000        0.0000000        0.0000000        0.0000000        0.3305891        0.5075932        0.5749108        0.9992862        
20.00            0                0                0                0                284469           279924           278851           1942             0.0000000        0.0000000        0.0000000        0.0000000        0.3590360        0.5355856        0.6027959        0.9994804        
20.25            0                0                0                0                291889           278468           272582           1472             0.0000000        0.0000000        0.0000000        0.0000000        0.3882249        0.5634324        0.6300541        0.9996276        
20.50            0                0                0                0                297656           274440           265688           1009             0.0000000        0.0000000        0.0000000        0.0000000        0.4179905        0.5908764        0.6566229        0.9997285        
20.75            0                0                0                0                301921           269309           257951           784              0.0000000        0.0000000        0.0000000        0.0000000        0.4481826        0.6178073        0.6824180        0.9998069        
21.00            0                0                0                0                303809           263502           248141           568              0.0000000        0.0000000        0.0000000        0.0000000        0.4785635        0.6441575        0.7072321        0.9998637        
21.25            0                0                0                0                303370           255812           238466           409              0.0000000        0.0000000        0.0000000        0.0000000        0.5089005        0.6697387        0.7310787        0.9999046        
21.50            0                0                0                0                302422           246733           228203           291              0.0000000        0.0000000        0.0000000        0.0000000        0.5391427        0.6944120        0.7538990        0.9999337        
21.75            0                0                0                0                299189           238547           216369           218              0.0000000        0.0000000        0.0000000        0.0000000        0.5690616        0.7182667        0.7755359        0.9999555        
22.00            0                0                0                0                295444           228434           204968           144              0.0000000        0.0000000        0.0000000        0.0000000        0.5986060        0.7411101        0.7960327        0.9999699        
22.25            0                0                0                0                289198           218284           192626           95               0.0000000        0.0000000        0.0000000        0.0000000        0.6275258        0.7629385        0.8152953        0.9999794        
22.50            0                0                0                0                280410           207633           181044           63               0.0000000        0.0000000        0.0000000        0.0000000        0.6555668        0.7837018        0.8333997        0.9999857        
22.75            0                0                0                0                272408           197393           169105           56               0.0000000        0.0000000        0.0000000        0.0000000        0.6828076        0.8034411        0.8503102        0.9999913        
23.00            0                0                0                0                261432           184356           156750           24               0.0000000        0.0000000        0.0000000        0.0000000        0.7089508        0.8218767        0.8659852        0.9999937        
23.25            0                0                0                0                250799           172809           144666           10               0.0000000        0.0000000        0.0000000        0.0000000        0.7340307        0.8391576        0.8804518        0.9999947        
23.50            0                0                0                0                238183           161347           133170           27               0.0000000        0.0000000        0.0000000        0.0000000        0.7578490        0.8552923        0.8937688        0.9999974        
23.75            0                0                0                0                226228           150353           121486           11               0.0000000        0.0000000        0.0000000        0.0000000        0.7804718        0.8703276        0.9059174        0.9999985        
24.00            0                0                0                0                212804           138604           111171           4                0.0000000        0.0000000        0.0000000        0.0000000        0.8017522        0.8841880        0.9170345        0.9999989        
24.25            0                0                0                0                199298           126461           100401           5                0.0000000        0.0000000        0.0000000        0.0000000        0.8216820        0.8968341        0.9270746        0.9999994        
24.50            0                0                0                0                185893           116633           90902            3                0.0000000        0.0000000        0.0000000        0.0000000        0.8402713        0.9084974        0.9361648        0.9999997        
24.75            0                0                0                0                171954           105723           81703            0                0.0000000        0.0000000        0.0000000        0.0000000        0.8574667        0.9190697        0.9443351        0.9999997        
25.00            0                0                0                0                159192           96858            73249            1                0.0000000        0.0000000        0.0000000        0.0000000        0.8733859        0.9287555        0.9516600        0.9999998        
25.25            0                0                0                0                146381           87246            64971            0                0.0000000        0.0000000        0.0000000        0.0000000        0.8880240        0.9374801        0.9581571        0.9999998        
25.50            0                0                0                0                133659           78855            57653            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9013899        0.9453656        0.9639224        0.9999998        
25.75            0                0                0                0                120933           70544            50865            1                0.0000000        0.0000000        0.0000000        0.0000000        0.9134832        0.9524200        0.9690089        0.9999999        
26.00            0                0                0                0                109487           62837            44630            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9244319        0.9587037        0.9734719        0.9999999        
26.25            0                0                0                0                97753            56195            39114            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9342072        0.9643232        0.9773833        0.9999999        
26.50            0                0                0                0                88004            49235            34035            1                0.0000000        0.0000000        0.0000000        0.0000000        0.9430076        0.9692467        0.9807868        1.0000000        
26.75            0                0                0                0                77896            43530            29635            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9507972        0.9735997        0.9837503        1.0000000        
27.00            0                0                0                0                69567            38434            25728            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9577539        0.9774431        0.9863231        1.0000000        
27.25            0                0                0                0                60918            33516            22237            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9638457        0.9807947        0.9885468        1.0000000        
27.50            0                0                0                0                53324            28881            18807            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9691781        0.9836828        0.9904275        1.0000000        
27.75            0                0                0                0                46550            25069            16097            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9738331        0.9861897        0.9920372        1.0000000        
28.00            0                0                0                0                41016            21727            13484            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9779347        0.9883624        0.9933856        1.0000000        
28.25            0                0                0                0                35037            18616            11502            0                0.0000000        0.0000000        0.0000000        0.0000000        0.9814384        0.9902240        0.9945358        1.0000000        
28.50            0                0                0                0                29918            15937            9683             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9844302        0.9918177        0.9955041        1.0000000        
28.75            0                0                0                0                25834            13639            7983             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9870136        0.9931816        0.9963024        1.0000000        
29.00            0                0                0                0                22229            11574            6908             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9892365        0.9943390        0.9969932        1.0000000        
29.25            0                0                0                0                18518            9799             5575             0                0.0000000        0.0000000        0.0000000        0.0000000        0.9910883        0.9953189        0.9975507        1.0000000        
